date_raw,max_temp_raw,date,max_temp
1979-01-01,59,1979-01-01,59
1979-01-02,30,1979-01-02,30
1979-01-03,14,1979-01-03,14
1979-01-04,18,1979-01-04,18
1979-01-05,18,1979-01-05,18
1979-01-06,21,1979-01-06,21
1979-01-07,22,1979-01-07,22
1979-01-08,18,1979-01-08,18
1979-01-09,18,1979-01-09,18
1979-01-10,14,1979-01-10,14
1979-01-11,15,1979-01-11,15
1979-01-12,26,1979-01-12,26
1979-01-13,40,1979-01-13,40
1979-01-14,39,1979-01-14,39
1979-01-15,17,1979-01-15,17
1979-01-16,29,1979-01-16,29
1979-01-17,39,1979-01-17,39
1979-01-18,27,1979-01-18,27
1979-01-19,28,1979-01-19,28
1979-01-20,39,1979-01-20,39
1979-01-21,37,1979-01-21,37
1979-01-22,31,1979-01-22,31
1979-01-23,39,1979-01-23,39
1979-01-24,39,1979-01-24,39
1979-01-25,24,1979-01-25,24
1979-01-26,27,1979-01-26,27
1979-01-27,33,1979-01-27,33
1979-01-28,33,1979-01-28,33
1979-01-29,29,1979-01-29,29
1979-01-30,25,1979-01-30,25
1979-01-31,25,1979-01-31,25
1979-02-01,20,1979-02-01,20
1979-02-02,22,1979-02-02,22
1979-02-03,30,1979-02-03,30
1979-02-04,30,1979-02-04,30
1979-02-05,12,1979-02-05,12
1979-02-06,23,1979-02-06,23
1979-02-07,30,1979-02-07,30
1979-02-08,19,1979-02-08,19
1979-02-09,12,1979-02-09,12
1979-02-10,14,1979-02-10,14
1979-02-11,16,1979-02-11,16
1979-02-12,24,1979-02-12,24
1979-02-13,18,1979-02-13,18
1979-02-14,26,1979-02-14,26
1979-02-15,32,1979-02-15,32
1979-02-16,23,1979-02-16,23
1979-02-17,11,1979-02-17,11
1979-02-18,21,1979-02-18,21
1979-02-19,21,1979-02-19,21
1979-02-20,37,1979-02-20,37
1979-02-21,42,1979-02-21,42
1979-02-22,40,1979-02-22,40
1979-02-23,53,1979-02-23,53
1979-02-24,45,1979-02-24,45
1979-02-25,36,1979-02-25,36
1979-02-26,33,1979-02-26,33
1979-02-27,40,1979-02-27,40
1979-02-28,46,1979-02-28,46
1979-03-01,46,1979-03-01,46
1979-03-02,47,1979-03-02,47
1979-03-03,66,1979-03-03,66
1979-03-04,69,1979-03-04,69
1979-03-05,44,1979-03-05,44
1979-03-06,47,1979-03-06,47
1979-03-07,54,1979-03-07,54
1979-03-08,59,1979-03-08,59
1979-03-09,43,1979-03-09,43
1979-03-10,42,1979-03-10,42
1979-03-11,28,1979-03-11,28
1979-03-12,42,1979-03-12,42
1979-03-13,62,1979-03-13,62
1979-03-14,56,1979-03-14,56
1979-03-15,26,1979-03-15,26
1979-03-16,47,1979-03-16,47
1979-03-17,63,1979-03-17,63
1979-03-18,68,1979-03-18,68
1979-03-19,67,1979-03-19,67
1979-03-20,67,1979-03-20,67
1979-03-21,70,1979-03-21,70
1979-03-22,75,1979-03-22,75
1979-03-23,68,1979-03-23,68
1979-03-24,55,1979-03-24,55
1979-03-25,38,1979-03-25,38
1979-03-26,33,1979-03-26,33
1979-03-27,40,1979-03-27,40
1979-03-28,63,1979-03-28,63
1979-03-29,71,1979-03-29,71
1979-03-30,73,1979-03-30,73
1979-03-31,65,1979-03-31,65
1979-04-01,51,1979-04-01,51
1979-04-02,66,1979-04-02,66
1979-04-03,47,1979-04-03,47
1979-04-04,50,1979-04-04,50
1979-04-05,53,1979-04-05,53
1979-04-06,46,1979-04-06,46
1979-04-07,39,1979-04-07,39
1979-04-08,63,1979-04-08,63
1979-04-09,54,1979-04-09,54
1979-04-10,50,1979-04-10,50
1979-04-11,56,1979-04-11,56
1979-04-12,74,1979-04-12,74
1979-04-13,67,1979-04-13,67
1979-04-14,66,1979-04-14,66
1979-04-15,51,1979-04-15,51
1979-04-16,50,1979-04-16,50
1979-04-17,56,1979-04-17,56
1979-04-18,61,1979-04-18,61
1979-04-19,63,1979-04-19,63
1979-04-20,71,1979-04-20,71
1979-04-21,76,1979-04-21,76
1979-04-22,65,1979-04-22,65
1979-04-23,69,1979-04-23,69
1979-04-24,76,1979-04-24,76
1979-04-25,79,1979-04-25,79
1979-04-26,66,1979-04-26,66
1979-04-27,59,1979-04-27,59
1979-04-28,51,1979-04-28,51
1979-04-29,57,1979-04-29,57
1979-04-30,61,1979-04-30,61
1979-05-01,59,1979-05-01,59
1979-05-02,78,1979-05-02,78
1979-05-03,69,1979-05-03,69
1979-05-04,57,1979-05-04,57
1979-05-05,59,1979-05-05,59
1979-05-06,72,1979-05-06,72
1979-05-07,83,1979-05-07,83
1979-05-08,87,1979-05-08,87
1979-05-09,86,1979-05-09,86
1979-05-10,84,1979-05-10,84
1979-05-11,86,1979-05-11,86
1979-05-12,78,1979-05-12,78
1979-05-13,62,1979-05-13,62
1979-05-14,74,1979-05-14,74
1979-05-15,70,1979-05-15,70
1979-05-16,66,1979-05-16,66
1979-05-17,72,1979-05-17,72
1979-05-18,79,1979-05-18,79
1979-05-19,82,1979-05-19,82
1979-05-20,81,1979-05-20,81
1979-05-21,74,1979-05-21,74
1979-05-22,70,1979-05-22,70
1979-05-23,65,1979-05-23,65
1979-05-24,60,1979-05-24,60
1979-05-25,49,1979-05-25,49
1979-05-26,62,1979-05-26,62
1979-05-27,67,1979-05-27,67
1979-05-28,72,1979-05-28,72
1979-05-29,73,1979-05-29,73
1979-05-30,83,1979-05-30,83
1979-05-31,70,1979-05-31,70
1979-06-01,81,1979-06-01,81
1979-06-02,75,1979-06-02,75
1979-06-03,78,1979-06-03,78
1979-06-04,84,1979-06-04,84
1979-06-05,84,1979-06-05,84
1979-06-06,83,1979-06-06,83
1979-06-07,82,1979-06-07,82
1979-06-08,81,1979-06-08,81
1979-06-09,85,1979-06-09,85
1979-06-10,89,1979-06-10,89
1979-06-11,74,1979-06-11,74
1979-06-12,76,1979-06-12,76
1979-06-13,73,1979-06-13,73
1979-06-14,84,1979-06-14,84
1979-06-15,87,1979-06-15,87
1979-06-16,84,1979-06-16,84
1979-06-17,87,1979-06-17,87
1979-06-18,74,1979-06-18,74
1979-06-19,80,1979-06-19,80
1979-06-20,89,1979-06-20,89
1979-06-21,82,1979-06-21,82
1979-06-22,86,1979-06-22,86
1979-06-23,75,1979-06-23,75
1979-06-24,69,1979-06-24,69
1979-06-25,73,1979-06-25,73
1979-06-26,79,1979-06-26,79
1979-06-27,82,1979-06-27,82
1979-06-28,85,1979-06-28,85
1979-06-29,73,1979-06-29,73
1979-06-30,67,1979-06-30,67
1979-07-01,69,1979-07-01,69
1979-07-02,76,1979-07-02,76
1979-07-03,83,1979-07-03,83
1979-07-04,72,1979-07-04,72
1979-07-05,73,1979-07-05,73
1979-07-06,76,1979-07-06,76
1979-07-07,79,1979-07-07,79
1979-07-08,83,1979-07-08,83
1979-07-09,72,1979-07-09,72
1979-07-10,81,1979-07-10,81
1979-07-11,83,1979-07-11,83
1979-07-12,82,1979-07-12,82
1979-07-13,76,1979-07-13,76
1979-07-14,87,1979-07-14,87
1979-07-15,85,1979-07-15,85
1979-07-16,86,1979-07-16,86
1979-07-17,82,1979-07-17,82
1979-07-18,78,1979-07-18,78
1979-07-19,82,1979-07-19,82
1979-07-20,83,1979-07-20,83
1979-07-21,83,1979-07-21,83
1979-07-22,86,1979-07-22,86
1979-07-23,86,1979-07-23,86
1979-07-24,80,1979-07-24,80
1979-07-25,78,1979-07-25,78
1979-07-26,85,1979-07-26,85
1979-07-27,83,1979-07-27,83
1979-07-28,74,1979-07-28,74
1979-07-29,83,1979-07-29,83
1979-07-30,85,1979-07-30,85
